feature	rep	val	estimate	pval	pval_corr
SMARCB1	Rep 2	P97.5	0.2118856277470973	0	0
EHMT2	Rep 2	P2.5	0.21187427312065363	0	0
DIDO1	Rep 2	P97.5	0.21176051549706396	0	0
FOSL1	Rep 2	P2.5	0.2117328119797634	0	0
MCRS1	Rep 2	estimate	0.2116946461117116	0	0
PRDM15	Rep 2	estimate	0.21169124477634213	0	0
GSPT2	Rep 2	P97.5	0.2116430744726258	0	0
AR	Rep 2	P97.5	0.21158812084909454	0	0
DPF2	Rep 2	estimate	0.2115077463878534	0	0
TARDBP	Rep 2	P2.5	0.21142738691236068	0	0
NR4A1	Rep 2	P97.5	0.21137575621439478	0	0
ZNF141	Rep 2	P97.5	0.21123731779645769	0.00288817771215344	0.0032582874418573124
PREB	Rep 2	P2.5	0.2111928669050087	0	0
ZBTB2	Rep 2	P97.5	0.21109273035185144	0	0
SREBF2	Rep 2	P97.5	0.2110397170611294	0	0
KDM5B	Rep 2	P2.5	0.21101861188161636	0	0
ZNF264	Rep 2	P2.5	0.21088700025133844	0	0
SIN3A	Rep 2	P2.5	0.21079697380479814	0	0
CEBPB	Rep 2	P2.5	0.2107212714394034	0	0
ZNF30	Rep 2	P97.5	0.2104467901750463	0	0
TP53	Rep 2	estimate	0.2103717601569267	0	0
OVOL3	Rep 2	P97.5	0.21033081869102424	0	0
HDAC3	Rep 2	estimate	0.21032140151518983	0	0
NCOA1	Rep 2	P97.5	0.21021641761569052	0	0
ZEB1	Rep 2	P2.5	0.21017832779934637	0	0
EPAS1	Rep 2	P2.5	0.210177438685348	0	0
PGR	Rep 2	P2.5	0.21013263042222852	0	0
IRF5	Rep 2	P2.5	0.2099898962197088	0	0
MYBL2	Rep 2	P2.5	0.20994495345832426	0	0
ZSCAN23	Rep 2	P97.5	0.20983311585821063	0	0
KLF17	Rep 2	estimate	0.2096554349518161	0	0
LIN54	Rep 2	P2.5	0.2095680685541797	0	0
WDR5	Rep 2	P97.5	0.2095640562609946	0	0
HIVEP1	Rep 2	P97.5	0.20953413767223691	0	0
SETDB1	Rep 2	P2.5	0.20949961425285116	0	0
BRD3	Rep 2	P2.5	0.20935955881496482	0	0
JMJD1C	Rep 2	P2.5	0.20930576741979712	0	0
HDAC6	Rep 2	estimate	0.20914257752088153	0	0
ZNF276	Rep 2	P2.5	0.2090869463382277	0	0
MEN1	Rep 2	estimate	0.20895320523636948	0	0
HOXA3	Rep 2	estimate	0.20894102108705676	0	0
CBX2	Rep 2	P97.5	0.2089274654083047	0	0
TEAD4	Rep 2	P2.5	0.20880353873607282	0	0
CEBPG	Rep 2	P97.5	0.2087765551851916	0	0
